Error during initialization.;Fehler bei der Initialisierung
by;mit
Correlation;Korrelation
between;zwischen
Number of overlapping trades;Anzahl überlappender Trades
Manage;Verwalten
StrategyQuant standard snippet - code locked;StrategyQuant Standard Snippet - Code gesperrt
evolution of strategies from initial population using genetic programming;Evolution von Strategien aus Ausgangspopulation mittels genetischer Programmierung
random generation of strategies without evolution;Zufällige Generierung von Strategien ohne Evolution
Conditions to generate;Zu generierende Bedingungen
Global Shift (lookback period);Globaler Versatz (Rückblickperiode)
Global Indicators period;Globale Indikatorenperiode
Min;Min
Max;Max
Use different settings for every chart;Für jeden Chart unterschiedliche Einstellungen verwenden
Is it required?;Ist es erforderlich?
Profit target is required;Profitziel ist erforderlich
Profit target size;Profitziel-Größe
Use same ranges as for Stop loss;Selben Bereich wie für Stop-Loss verwenden
Min:;Min:
Max:;Max:
Fixed pips;Feste Pips
ATR-based;ATR-basiert
ATR Multiple;ATR-Vielfaches
ATR Period;ATR-Periode
Limit Risk-Reward (SL vs PT) ratio?;Risk-Reward (SL vs PT) Ratio begrenzen?
Yes, Profit Target will be from;Ja, Profitziel von
% to;% bis
% of Stop loss size;% der Stop-Loss-Größe
Stop loss is required;Stop-Loss ist erforderlich
Stop loss size;Stop-Loss-Größe
SQX Signals Style;Art der SQX-Signale
SQX Signals Style with Fuzzy Logic;Art der SQX-Signale mit Fuzzy-Logik
Minimum % of true conditions;Minimaler Prozentsatz erfüllter Bedingungen
Old SQ3 Style;Alte SQ3-Art
Strategy directions;Handelsrichtungen
Both (Long and Short);Beide (Long und Short)
Only Long;Nur Long
Only Short;Nur Short
Entry Symmetry;Einstiegssymmetrie
Exit Symmetry;Ausstiegssymmetrie
The UI is loading, please wait...;Das Benutzerinterface lädt, bitte warten…
Projects;Projekte
Data sources;Datenquellen
Instrumets and Sessions;Instrumente und Sessions
Welcome to StrategyQuant X;Willkommen zu StrategyQuant X
StrategyQuant is a powerful strategy development platform that uses machine learning techniques and genetic programming to automatically generate new automated trading systems for any market or timeframe.;StrategyQuant ist eine kraftvolle Strategieentwicklungs-Plattform, die Maschinenlern-Techniken und genetische Programmierung verwendet, um neue, automatische Tradingsysteme für jeden Markt und Timeframe zu generieren.
Start building new strategies by clicking on the button below.;Klicke auf den untenstehenden Button, um mit der Generierung neuer Strategien zu beginnen.
Start Building Strategies;Beginne die Strategiegenerierung
Getting started with StrategyQuant;Erste Schritte mit StrategyQuant
Post-installation steps;Erste Schritte nach der Installation
How StrategyQuant works;Wie StrategyQuant funktioniert
Getting started with the program;Erste Schritte mit dem Programm
Recommended workflow;Empfohlener Workflow
User's Guide in PDF;Benutzerhandbuch als PDF
What's New;Neuigkeiten
StrategyQuant4 Release Candidate 4;StrategyQuant4 Release Kandidat 4
Improved parallel processing and how orders are stored - it removed cause of Java crashes and made program run faster.;Verbesserung der parallelen Verarbeitung und Speicherung der Orders - dadurch werden Java-Abstürze verhindert und das Programm läuft schneller.
Improved Walk-Forward optimization engine, now it should be faster and more reliable.;Verbesserte Walk-Forward Optimierungs-Engine, sie sollte jetzt schneller und verlässlicher arbeiten.
Autoupdater in SQX should finally work correctly.;Der Autoupdater in SQX sollte nun endlich fehlerfrei arbeiten.
Added support for other languages and translations.;Unterstützung für andere Sprachen und Übersetzungen hinzugefügt.
Fixed numerous other reported issues.;Zahlreiche andere gemeldete Fehler beseitigt.
Please check;Bitte überprüfen
Roadmap;Roadmap
for complete changelog of this release.;für vollständiges Changelog dieses Releases.
Grid engine overview;Übersicht der Grid-Engine
Auto-refresh every 3 seconds;Alle 3 Sekunden automatisch aktualisieren
Jobs in progress;Laufende Aufgaben
Waiting jobs;Wartende Aufgaben
Last 100 finished jobs;Letzte 100 fertiggestellte Aufgaben
Job ID;Aufgaben-ID
Job group ID;Aufgabengruppen-ID
Status;Status
Created;Erstellt
Started;Gestartet
Run time;Laufzeit
Progress;Fortschritt
No jobs in progress.;Keine Aufgaben in Bearbeitung.
No waiting jobs.;Keine wartenden Aufgaben.
Duration;Dauer
No finished jobs.;Keine fertiggestellten Aufgaben.
Continuous;Fortlaufend
One time;Einmalig
Waiting;Wartend
Running;Laufend
Success;Erfolg
Local grid;Lokales Grid
Compilation;Kompilierung
Compiling classes...;Kompiliere Klassen…
Project '%s' has reached task '%s'.;Projekt '%s' hat Aufgabe '%s' erreicht.
No results so far;Bisher keine Ergebnisse
Best strategy so far;Beste Strategie bisher
2nd Best strategy so far;Zweitbeste Strategie bisher
3rd Best strategy so far;Drittbeste Strategie bisher
Symbol '%s' doesn't contain any data;Symbol '%s' enthält keine Daten
Preparing clone to timezone;Bereite Klonen nach Zeitzone vor
multiple;mehrere
Cancel export;Export abbrechen
Do you want to keep the export file?;Möchtest du die Exportdatei behalten?
Directory cannot be empty.;Verzeichnis darf nicht leer sein.
Symbol '%s' doesn't have data in this range.;Symbol '%s' hat keine Daten in diesem Bereich.
Preparing export to CSV;Bereite Export nach CSV vor
Comma Separated File;Kommaseparierte Datei
Select export file;Wähle die Exportdatei aus
ExportData;ExportData
You can choose only one symbol to export.;Du kannst nur ein Symbol zum Exportieren auswählen.
Export to MT4 works only with TICK data.;Export nach MT4 funktioniert nur mit TICK-Daten.
Select MT4 installation folder;MT4-Installationsverzeichnis auswählen
Select MT4 Data folder;MT4-Datenverzeichnis auswählen
Select MT4 data specification file;MT4-Datenspezifikationsdatei auswählen
Preparing export to MT4;Bereite Export nach MT4 vor
Export to MT5 works only with TICK and M1 data.;Export nach MT5 funktioniert nur mit TICK- und M1-Daten.
Point value;Punktwert
Pip/Tick size;Pip-/Tick-Größe
Pip/Tick step;Pip-/Tick-Schritt
Default spread;Standardspread
Commissions;Kommissionen
No instruments defined.;Keine Instrumente definiert.
You have to select some record.;Du musst irgendeinen Eintrag auswählen.
Are you sure you want to remove selected instruments (%d)?;Möchtest du die ausgewählten Instrumente (%d) wirklich entfernen?
Are you sure you want to remove instrument '%s'?;Möchtest du das Instrument '%s' wirklich entfernen?
Remove instruments;Instrumente entfernen
Remove instrument;Instrument entfernen
Session Name;Session-Name
Start time;Startzeit
End time;Endzeit
SEOC;SEOC
No session times defined.;Keine Sessionzeiten definiert.
You must select at least one row;Du musst mindestens eine Zeile auswählen
Yes;Ja
No;Nein
No session defined. Please define Monday session and try again;Keine Session definiert. Bitte definiere eine Montagssitzung und versuche es erneut
No suitable Monday session found. Monday session must end on Monday or Tuesday;Keine passende Montagssitzung gefunden. Montagssitzung muss am Montag oder Dienstag enden
You have to create Monday session element;Du musst ein Montagssitzungs-Element erstellen
Changes not saved;Änderungen nicht gespeichert
Do you really want to discard changes?;Möchtest du die Änderungen wirklich verwerfen?
Session template name not filled;Name der Sessionvorlage nicht eingegeben
No sessions defined;Keine Sessions definiert
No session selected;Keine Session ausgewählt
Removing session;Entferne Session
Available data range;Verfügbarer Datenbereich
No Dukascopy symbols available.;Keine Dukascopy-Symbole verfügbar.
No symbols selected;Keine Symbole ausgewählt
This option is available only for users with full licence, not for trial users.;Diese Option ist nur für Besitzer der Vollversion verfügbar, nicht in der Testversion.
Preparing Dukascopy data import;Bereite Dukascopy-Datenimport vor
You must select at least one Dukascopy record.;Du musst mindestens einen Dukascopy-Eintrag auswählen.
Preparing TickDownloader data import;Bereite TickDownloader Datenimport vor
Select TickDownloader data folder;Wähle das TickDownloader Datenverzeichnis aus
You must select at least one File record.;Du musst mindestens einen Dateieintrag auswählen.
Delete data format;Datenformat löschen
New format error;Fehler in neuem Format
Name cannot be empty;Name darf nicht leer sein
Select file to import;Wähle die Datei zum Importieren aus
ImportData;ImportData
Select type for each column.;Wähle den Typ für jede Spalte aus
Import error;Import-Fehler
Preparing File data import;Import der Dateidaten wird vorbereitet
Cancel import;Import abbrechen
Do you really want to cancel the import?;Möchtest du den Import wirklich abbrechen?
Cannot delete view.;Kann die Ansicht nicht löschen.
No target chosen for applying settings.;Kein Ziel zur Anwendung der Einstellungen ausgewählt.
Period;Periode
Net Profit;Nettogewinn
Profit Factor;Profit-Faktor
# of trades;Anzahl an Trades
% Wins;% Gewinne
No annual stats available.;Keine Jahresstatistiken verfügbar.
No trades data.;Keine Trades-Daten.
Cannot delete view. %s;Kann die Ansicht %s nicht löschen.
Tradelist view removed;Tradelisten-Ansicht entfernt
Period IS;Periode IS
Period OOS;Periode OOS
Days IS;Tage IS
Days OOS;Tage OOS
# of trades IS;Anzahl an Trades IS
# of trades OOS;Anzahl an Trades OOS
Net Profit IS;Nettoprofit IS
Net Profit OOS;Nettoprofit OOS
Drawdown IS;Drawdown IS
Drawdown OOS;Drawdown OOS
Do you really want to set default conditions?<br>It will overwrite your current settings.;Möchtest du die Bedingungen wirklich auf die Voreinstellung zurücksetzen?<br>Dadurch werden deine aktuellen Einstellungen überschrieben.
No data.;Keine Daten.
No search results available.;Keine Suchergebnisse verfügbar.
Searched '%s' - %d matches;Suchbegriff '%s' - %d Treffer
File '%s' contains unsaved changes.<br>Do you really want to close it?;Die Datei '%s' enthält nicht gespeicherte Änderungen.<br>Möchtest du sie wirklich schließen?
New file;Neue Datei
New directory;Neues Verzeichnis
Templates;Vorlagen
Are you sure you want to remove this file?;Möchtest du diese Datei wirklich entfernem?
Do you really want to refresh this file from disc? Unsaved changes will be lost.;Möchtest du diese Datei wirklich von der Festplatte aktualisieren? Nicht gespeicherte Änderungen gehen verloren.
Indicator;Indikator
Test file name;Name der Testdatei
Exists?;Existiert?
Decimals;Dezimalstellen
Test result;Testergebnis
No tests.;Keine Tests.
Decimals count must be a number;Dezimalstellenwert muss eine Zahl sein
SQ value;SQ-Wert
Value from file;Wert aus Datei
No errors.;Keine Fehler.
Indicator '%s' not found;Indikator '%s' nicht gefunden
Remove test;Test entfernen
Do you want to remove test '%s'?;Möchtest du den Test '%s' wirklich entfernen?
Remove tests;Tests entfernen
Do you want to remove all tests?;Möchtest du alle Tests entfernen?
Indicator tests successfully downloaded;Indikatorentests erfolgreich heruntergeladen
Indicator tests download;Indikatorentests herunterladen
Parameters settings;Parametereinstellungen
Do you realy want to close parameters editation?<br>Your changes will be not saved;Möchtest du die Bearbeitung der Parameter wirklich schließen?<br>Deine Änderungen werden nicht gespeichert
Cross check - %s settings cannot be displayed. Missing UI plugin.;Cross-Check - %s Einstellungen können nicht angezeigt werden. Fehlendes UI-Plugin.
No Session;Keine Session
Selected symbol ('%s') has no data.;Das ausgewählte Symbol ('%s') enthält keine Daten.
Not enough space for new OOS period;Nicht genügend Platz für neue OOS-Periode
Removing condition;Entferne Bedingung
Are you sure you want to remove selected condition?;Möchtest du die ausgewählte Bedingung wirklich entfernen?
